           t           x           y          vx          vy
     0.51400     1.05040     1.05040     0.10000     0.10000
     0.51500     1.05050     1.05050     0.10000     0.10000
     0.51600     1.05060     1.05060     0.10000     0.10000
     0.51700     1.05070     1.05070     0.10000     0.10000
     0.51800     1.05080     1.05080     0.10000     0.10000
     0.51900     1.05090     1.05090     0.10000     0.10000
     0.52000     1.05100     1.05100     0.10000     0.10000
     0.52100     1.05110     1.05110     0.10000     0.10000
     0.52200     1.05120     1.05120     0.10000     0.10000
     0.52300     1.05130     1.05130     0.10000     0.10000
     0.52400     1.05140     1.05140     0.10000     0.10000
     0.52500     1.05150     1.05150     0.10000     0.10000
     0.52600     1.05160     1.05160     0.10000     0.10000
     0.52700     1.05170     1.05170     0.10000     0.10000
     0.52800     1.05180     1.05180     0.10000     0.10000
     0.52900     1.05190     1.05190     0.10000     0.10000
     0.53000     1.05200     1.05200     0.10000     0.10000
     0.53100     1.05210     1.05210     0.10000     0.10000
     0.53200     1.05220     1.05220     0.10000     0.10000
     0.53300     1.05230     1.05230     0.10000     0.10000
     0.53400     1.05240     1.05240     0.10000     0.10000
     0.53500     1.05250     1.05250     0.10000     0.10000
     0.53600     1.05260     1.05260     0.10000     0.10000
     0.53700     1.05270     1.05270     0.10000     0.10000
     0.53800     1.05280     1.05280     0.10000     0.10000
     0.53900     1.05290     1.05290     0.10000     0.10000
     0.54000     1.05300     1.05300     0.10000     0.10000
     0.54100     1.05310     1.05310     0.10000     0.10000
     0.54200     1.05320     1.05320     0.10000     0.10000
     0.54300     1.05330     1.05330     0.10000     0.10000
     0.54400     1.05340     1.05340     0.10000     0.10000
     0.54500     1.05350     1.05350     0.10000     0.10000
