           t              x              v    Energia_Cinetica
    19.60000       31.10000       -3.00000             4.50000
    19.70000       30.80000       -3.00000             4.50000
    19.80000       30.50000       -3.00000             4.50000
    19.90000       30.20000       -3.00000             4.50000
    20.00000       29.90000       -3.00000             4.50000
    20.10000       29.60000       -3.00000             4.50000
    20.20000       29.30000       -3.00000             4.50000
    20.30000       29.00000       -3.00000             4.50000
    20.40000       28.70000       -3.00000             4.50000
    20.50000       28.40000       -3.00000             4.50000
    20.60000       28.10000       -3.00000             4.50000
    20.70000       27.80000       -3.00000             4.50000
    20.80000       27.50000       -3.00000             4.50000
    20.90000       27.20000       -3.00000             4.50000
    21.00000       26.90000       -3.00000             4.50000
    21.10000       26.60000       -3.00000             4.50000
    21.20000       26.30000       -3.00000             4.50000
    21.30000       26.00000       -3.00000             4.50000
    21.40000       25.70000       -3.00000             4.50000
    21.50000       25.40000       -3.00000             4.50000
    21.60000       25.10000       -3.00000             4.50000
    21.70000       24.80000       -3.00000             4.50000
    21.80000       24.50000       -3.00000             4.50000
    21.90000       24.20000       -3.00000             4.50000
    22.00000       23.90000       -3.00000             4.50000
    22.10000       23.60000       -3.00000             4.50000
    22.20000       23.30000       -3.00000             4.50000
    22.30000       23.00000       -3.00000             4.50000
    22.40000       22.70000       -3.00000             4.50000
    22.50000       22.40000       -3.00000             4.50000
    22.60000       22.10000       -3.00000             4.50000
    22.70000       21.80000       -3.00000             4.50000
    22.80000       21.50000       -3.00000             4.50000
    22.90000       21.20000       -3.00000             4.50000
    23.00000       20.90000       -3.00000             4.50000
    23.10000       20.60000       -3.00000             4.50000
    23.20000       20.30000       -3.00000             4.50000
    23.30000       20.00000       -3.00000             4.50000
    23.40000       19.70000       -3.00000             4.50000
    23.50000       19.40000       -3.00000             4.50000
    23.60000       19.10000       -3.00000             4.50000
    23.70000       18.80000       -3.00000             4.50000
    23.80000       18.50000       -3.00000             4.50000
    23.90000       18.20000       -3.00000             4.50000
    24.00000       17.90000       -3.00000             4.50000
    24.10000       17.60000       -3.00000             4.50000
    24.20000       17.30000       -3.00000             4.50000
    24.30000       17.00000       -3.00000             4.50000
    24.40000       16.70000       -3.00000             4.50000
    24.50000       16.40000       -3.00000             4.50000
    24.60000       16.10000       -3.00000             4.50000
    24.70000       15.80000       -3.00000             4.50000
    24.80000       15.50000       -3.00000             4.50000
    24.90000       15.20000       -3.00000             4.50000
    25.00000       14.90000       -3.00000             4.50000
    25.10000       14.60000       -3.00000             4.50000
    25.20000       14.30000       -3.00000             4.50000
    25.30000       14.00000       -3.00000             4.50000
    25.40000       13.70000       -3.00000             4.50000
    25.50000       13.40000       -3.00000             4.50000
    25.60000       13.10000       -3.00000             4.50000
    25.70000       12.80000       -3.00000             4.50000
    25.80000       12.50000       -3.00000             4.50000
    25.90000       12.20000       -3.00000             4.50000
    26.00000       11.90000       -3.00000             4.50000
    26.10000       11.60000       -3.00000             4.50000
    26.20000       11.30000       -3.00000             4.50000
    26.30000       11.00000       -3.00000             4.50000
    26.40000       10.70000       -3.00000             4.50000
    26.50000       10.40000       -3.00000             4.50000
    26.60000       10.10000       -3.00000             4.50000
    26.70000        9.80000       -3.00000             4.50000
    26.80000        9.50000       -3.00000             4.50000
    26.90000        9.20000       -3.00000             4.50000
    27.00000        8.90000       -3.00000             4.50000
    27.10000        8.60000       -3.00000             4.50000
    27.20000        8.30000       -3.00000             4.50000
    27.30000        8.00000       -3.00000             4.50000
    27.40000        7.70000       -3.00000             4.50000
    27.50000        7.40000       -3.00000             4.50000
    27.60000        7.10000       -3.00000             4.50000
    27.70000        6.80000       -3.00000             4.50000
    27.80000        6.50000       -3.00000             4.50000
    27.90000        6.20000       -3.00000             4.50000
    28.00000        5.90000       -3.00000             4.50000
    28.10000        5.60000       -3.00000             4.50000
    28.20000        5.30000       -3.00000             4.50000
    28.30000        5.00000       -3.00000             4.50000
    28.40000        4.70000       -3.00000             4.50000
    28.50000        4.40000       -3.00000             4.50000
    28.60000        4.10000       -3.00000             4.50000
    28.70000        3.80000       -3.00000             4.50000
    28.80000        3.50000       -3.00000             4.50000
    28.90000        3.20000       -3.00000             4.50000
    29.00000        2.90000       -3.00000             4.50000
    29.10000        2.60000       -3.00000             4.50000
    29.20000        2.30000       -3.00000             4.50000
    29.30000        2.00000       -3.00000             4.50000
    29.40000        1.70000       -3.00000             4.50000
    29.50000        1.40000       -3.00000             4.50000
    29.60000        1.10000       -3.00000             4.50000
    29.70000        0.80000       -3.00000             4.50000
    29.80000        0.50000       -3.00000             4.50000
    29.90000        0.20000       -3.00000             4.50000
    30.00000        0.00000        1.80000             1.62000
    30.10000        0.18000        1.80000             1.62000
    30.20000        0.36000        1.80000             1.62000
    30.30000        0.54000        1.80000             1.62000
    30.40000        0.72000        1.80000             1.62000
    30.50000        0.90000        1.80000             1.62000
    30.60000        1.08000        1.80000             1.62000
    30.70000        1.26000        1.80000             1.62000
    30.80000        1.44000        1.80000             1.62000
    30.90000        1.62000        1.80000             1.62000
    31.00000        1.80000        1.80000             1.62000
    31.10000        1.98000        1.80000             1.62000
    31.20000        2.16000        1.80000             1.62000
    31.30000        2.34000        1.80000             1.62000
    31.40000        2.52000        1.80000             1.62000
    31.50000        2.70000        1.80000             1.62000
    31.60000        2.88000        1.80000             1.62000
    31.70000        3.06000        1.80000             1.62000
    31.80000        3.24000        1.80000             1.62000
    31.90000        3.42000        1.80000             1.62000
    32.00000        3.60000        1.80000             1.62000
    32.10000        3.78000        1.80000             1.62000
    32.20000        3.96000        1.80000             1.62000
    32.30000        4.14000        1.80000             1.62000
    32.40000        4.32000        1.80000             1.62000
    32.50000        4.50000        1.80000             1.62000
    32.60000        4.68000        1.80000             1.62000
    32.70000        4.86000        1.80000             1.62000
    32.80000        5.04000        1.80000             1.62000
    32.90000        5.22000        1.80000             1.62000
    33.00000        5.40000        1.80000             1.62000
    33.10000        5.58000        1.80000             1.62000
    33.20000        5.76000        1.80000             1.62000
    33.30000        5.94000        1.80000             1.62000
    33.40000        6.12000        1.80000             1.62000
    33.50000        6.30000        1.80000             1.62000
    33.60000        6.48000        1.80000             1.62000
    33.70000        6.66000        1.80000             1.62000
    33.80000        6.84000        1.80000             1.62000
    33.90000        7.02000        1.80000             1.62000
    34.00000        7.20000        1.80000             1.62000
    34.10000        7.38000        1.80000             1.62000
    34.20000        7.56000        1.80000             1.62000
    34.30000        7.74000        1.80000             1.62000
    34.40000        7.92000        1.80000             1.62000
    34.50000        8.10000        1.80000             1.62000
    34.60000        8.28000        1.80000             1.62000
    34.70000        8.46000        1.80000             1.62000
    34.80000        8.64000        1.80000             1.62000
    34.90000        8.82000        1.80000             1.62000
    35.00000        9.00000        1.80000             1.62000
    35.10000        9.18000        1.80000             1.62000
    35.20000        9.36000        1.80000             1.62000
    35.30000        9.54000        1.80000             1.62000
    35.40000        9.72000        1.80000             1.62000
    35.50000        9.90000        1.80000             1.62000
    35.60000       10.08000        1.80000             1.62000
    35.70000       10.26000        1.80000             1.62000
    35.80000       10.44000        1.80000             1.62000
    35.90000       10.62000        1.80000             1.62000
    36.00000       10.80000        1.80000             1.62000
    36.10000       10.98000        1.80000             1.62000
    36.20000       11.16000        1.80000             1.62000
    36.30000       11.34000        1.80000             1.62000
