           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     2.49335        1.67452        1.91067
     2.52338        1.72540        1.91067
     2.54818        1.77902        1.91067
     2.56750        1.83485        1.91067
     2.58115        1.89233        1.91067
     2.58900        1.95089        1.91067

     2.77884        2.00000        1.84212
     2.77495        2.07775        1.84212
     2.76331        2.15473        1.84212
     2.74405        2.23016        1.84212
     2.71736        2.30329        1.84212
     2.68349        2.37339        1.84212
     2.64280        2.43976        1.84212
     2.59569        2.50174        1.84212
     2.54262        2.55870        1.84212
     2.48413        2.61008        1.84212
     2.42081        2.65537        1.84212
     2.35328        2.69410        1.84212
     2.28222        2.72591        1.84212
     2.20834        2.75045        1.84212
     2.13238        2.76750        1.84212
     2.05509        2.77689        1.84212
     1.97726        2.77850        1.84212
     1.89965        2.77234        1.84212
     1.82305        2.75847        1.84212
     1.74821        2.73701        1.84212
     1.67589        2.70819        1.84212
     1.60681        2.67230        1.84212
     1.54165        2.62969        1.84212
     1.48108        2.58078        1.84212
     1.42569        2.52608        1.84212
     1.37604        2.46611        1.84212
     1.33262        2.40149        1.84212
     1.29588        2.33286        1.84212
     1.26616        2.26090        1.84212
     1.24378        2.18634        1.84212
     1.22896        2.10991        1.84212
     1.22184        2.03238        1.84212
     1.22249        1.95454        1.84212
     1.23091        1.87714        1.84212
     1.24702        1.80098        1.84212
     1.27065        1.72680        1.84212
     1.30157        1.65535        1.84212
     1.33947        1.58734        1.84212
     1.38397        1.52346        1.84212
     1.43462        1.46434        1.84212
     1.49092        1.41057        1.84212
     1.55231        1.36270        1.84212
     1.61817        1.32118        1.84212
     1.68784        1.28646        1.84212
     1.76064        1.25886        1.84212
     1.83582        1.23866        1.84212
     1.91265        1.22608        1.84212
     1.99035        1.22122        1.84212
     2.06815        1.22415        1.84212
     2.14526        1.23483        1.84212
     2.22093        1.25315        1.84212
     2.29438        1.27894        1.84212
     2.36490        1.31193        1.84212
     2.43177        1.35180        1.84212
     2.49432        1.39814        1.84212
     2.55194        1.45050        1.84212
     2.60404        1.50835        1.84212
     2.65010        1.57111        1.84212
     2.68968        1.63815        1.84212
     2.72235        1.70881        1.84212
     2.74782        1.78238        1.84212
     2.76581        1.85813        1.84212
     2.77614        1.93529        1.84212

     2.95885        2.00000        1.75517
     2.95406        2.09573        1.75517
     2.93974        2.19049        1.75517
     2.91603        2.28336        1.75517
     2.88316        2.37339        1.75517
     2.84147        2.45970        1.75517
     2.79137        2.54141        1.75517
     2.73337        2.61771        1.75517
     2.66804        2.68784        1.75517
     2.59603        2.75109        1.75517
     2.51807        2.80685        1.75517
     2.43493        2.85454        1.75517
     2.34745        2.89369        1.75517
     2.25649        2.92391        1.75517
     2.16297        2.94490        1.75517
     2.06783        2.95645        1.75517
     1.97200        2.95844        1.75517
     1.87646        2.95086        1.75517
     1.78215        2.93377        1.75517
     1.69001        2.90736        1.75517
     1.60098        2.87188        1.75517
     1.51593        2.82769        1.75517
     1.43572        2.77523        1.75517
     1.36114        2.71502        1.75517
     1.29295        2.64767        1.75517
     1.23182        2.57385        1.75517
     1.17837        2.49429        1.75517
     1.13313        2.40979        1.75517
     1.09655        2.32120        1.75517
     1.06900        2.22940        1.75517
     1.05074        2.13531        1.75517
     1.04198        2.03987        1.75517
     1.04278        1.94403        1.75517
     1.05315        1.84875        1.75517
     1.07298        1.75497        1.75517
     1.10208        1.66365        1.75517
     1.14014        1.57569        1.75517
     1.18680        1.49197        1.75517
     1.24158        1.41332        1.75517
     1.30394        1.34053        1.75517
     1.37325        1.27434        1.75517
     1.44883        1.21539        1.75517
     1.52991        1.16429        1.75517
     1.61569        1.12153        1.75517
     1.70531        1.08756        1.75517
     1.79788        1.06269        1.75517
     1.89246        1.04720        1.75517
     1.98812        1.04122        1.75517
     2.08390        1.04483        1.75517
     2.17884        1.05797        1.75517
     2.27199        1.08053        1.75517
