           t              x              y              z             vz
     1.82000        1.62763        1.62763        2.77013       -3.58283
     1.83000        1.60779        1.60779        2.73381       -3.68083
     1.84000        1.58796        1.58796        2.69652       -3.77883
     1.85000        1.56812        1.56812        2.65824       -3.87683
     1.86000        1.54829        1.54829        2.61898       -3.97483
     1.87000        1.52845        1.52845        2.57874       -4.07283
     1.88000        1.50862        1.50862        2.53752       -4.17083
     1.89000        1.48878        1.48878        2.49532       -4.26883
     1.90000        1.46895        1.46895        2.45215       -4.36683
     1.91000        1.44911        1.44911        2.40799       -4.46483
     1.92000        1.42928        1.42928        2.36285       -4.56283
     1.93000        1.40944        1.40944        2.31673       -4.66083
     1.94000        1.38961        1.38961        2.26963       -4.75883
     1.95000        1.36977        1.36977        2.22155       -4.85683
     1.96000        1.34994        1.34994        2.17250       -4.95483
     1.97000        1.33010        1.33010        2.12246       -5.05283
     1.98000        1.31026        1.31026        2.07144       -5.15083
     1.99000        1.29043        1.29043        2.01944       -5.24883
     2.00000        1.27059        1.27059        1.96646       -5.34683
     2.01000        1.25076        1.25076        1.91250       -5.44483
     2.02000        1.23092        1.23092        1.85757       -5.54283
     2.03000        1.21109        1.21109        1.80165       -5.64083
     2.04000        1.19125        1.19125        1.74475       -5.73883
     2.05000        1.17142        1.17142        1.68687       -5.83683
     2.06000        1.15158        1.15158        1.62801       -5.93483
     2.07000        1.13175        1.13175        1.56817       -6.03283
     2.08000        1.11191        1.11191        1.50736       -6.13083
     2.09000        1.09208        1.09208        1.44556       -6.22883
     2.10000        1.07224        1.07224        1.38278       -6.32683
     2.11000        1.05241        1.05241        1.31902       -6.42483
     2.12000        1.03257        1.03257        1.25428       -6.52283
     2.13000        1.01274        1.01274        1.18856       -6.62083
     2.14000        0.99290        0.99290        1.12187       -6.71883
     2.15000        0.97307        0.97307        1.05419       -6.81683
     2.16000        0.95323        0.95323        0.98553       -6.91483
     2.17000        0.93339        0.93339        0.91589       -7.01283
     2.18000        0.91356        0.91356        0.84527       -7.11083
     2.19000        0.89372        0.89372        0.77368       -7.20883
     2.20000        0.87389        0.87389        0.70110       -7.30683
     2.21000        0.85405        0.85405        0.62754       -7.40483
     2.22000        0.83422        0.83422        0.55300       -7.50283
     2.23000        0.81438        0.81438        0.47748       -7.60083
     2.24000        0.79455        0.79455        0.40098       -7.69883
     2.25000        0.77471        0.77471        0.32351       -7.79683
     2.26000        0.75488        0.75488        0.24505       -7.89483
     2.27000        0.73504        0.73504        0.16561       -7.99283
     2.28000        0.71521        0.71521        0.08519       -8.09083
     2.29000        0.69537        0.69537        0.00379       -8.18883


         #xs             ys             zs
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
     4.50000        4.50000        1.50000
